theta1,theta2,theta3,thetadot1,thetadot2,thetadot3,tau1,tau2,tau3
0.00104345277275352,-0.00034781759091784,-0.00034781759091784,0.0159115384719016,-0.00530384615730053,-0.00530384615730053,0.00200460288797595,0.000423099197204521,1.70604524905328e-05
0.00107551404106353,-0.000358504680354509,-0.000358504680354509,0.0161496963277849,-0.00538323210926164,-0.00538323210926164,0.0020661965616377,0.00043609939713385,1.75846541947089e-05
0.00110805142402337,-0.000369350474674457,-0.000369350474674457,0.0163876531217384,-0.00546255104057948,-0.00546255104057948,0.00212870490869342,0.000449292651787127,1.81166403708708e-05
0.00114106451950919,-0.000380354839836398,-0.000380354839836398,0.0166254088537621,-0.00554180295125403,-0.00554180295125403,0.00219212715646935,0.000462678798096327,1.86564044441389e-05
0.00117455292539713,-0.000391517641799045,-0.000391517641799045,0.0168629635238559,-0.00562098784128532,-0.00562098784128532,0.00225646253228534,0.000476257672992765,1.92039398396271e-05
0.00120851623956333,-0.00040283874652111,-0.00040283874652111,0.01710031713202,-0.00570010571067332,-0.00570010571067332,0.00232171026345474,0.000490029113407083,1.9759239982442e-05
0.00124295405988393,-0.000414318019961309,-0.000414318019961309,0.0173374696782541,-0.00577915655941805,-0.00577915655941805,0.00238786957728416,0.000503992956269228,2.03222982976832e-05
0.00127786598423506,-0.000425955328078354,-0.000425955328078354,0.0175744211625585,-0.0058581403875195,-0.0058581403875195,0.00245493970107332,0.000518149038508432,2.08931082104428e-05
0.00131325161049287,-0.000437750536830958,-0.000437750536830958,0.017811171584933,-0.00593705719497768,-0.00593705719497768,0.00252291986211485,0.000532497197053198,2.14716631458053e-05
0.00134911053653351,-0.000449703512177835,-0.000449703512177835,0.0180477209453777,-0.00601590698179258,-0.00601590698179258,0.00259180928769414,0.000547037268831276,2.20579565288474e-05
0.0013854423602331,-0.0004618141200777,-0.0004618141200777,0.0182840692438926,-0.0060946897479642,-0.0060946897479642,0.00266160720508909,0.000561769090769645,2.26519817846378e-05
0.00142224667946779,-0.000474082226489264,-0.000474082226489264,0.0185202164804776,-0.00617340549349254,-0.00617340549349254,0.00273231284156998,0.000576692499794494,2.3253732338237e-05
0.00145952309211372,-0.000486507697371241,-0.000486507697371241,0.0187561626551328,-0.00625205421837761,-0.00625205421837761,0.00280392542439923,0.000591807332831201,2.38632016146968e-05
0.00149727119604704,-0.000499090398682345,-0.000499090398682345,0.0189919077678582,-0.00633063592261941,-0.00633063592261941,0.00287644418083123,0.000607113426804313,2.44803830390609e-05
0.00153549058914387,-0.00051183019638129,-0.00051183019638129,0.0192274518186538,-0.00640915060621792,-0.00640915060621792,0.00294986833811215,0.000622610618637528,2.51052700363637e-05
0.00157418086928036,-0.000524726956426788,-0.000524726956426788,0.0194627948075195,-0.00648759826917316,-0.00648759826917316,0.00302419712347973,0.00063829874525367,2.57378560316307e-05
0.00161334163433266,-0.000537780544777553,-0.000537780544777553,0.0196979367344554,-0.00656597891148512,-0.00656597891148512,0.00309942976416308,0.000654177643574672,2.63781344498781e-05
0.0016529724821769,-0.0005509908273923,-0.0005509908273923,0.0199328775994614,-0.00664429253315381,-0.00664429253315381,0.00317556548738246,0.000670247150521556,2.70260987161127e-05
0.00169307301068922,-0.00056435767022974,-0.00056435767022974,0.0201676174025377,-0.00672253913417922,-0.00672253913417922,0.00325260352034911,0.000686507103014407,2.76817422553315e-05
0.00173364281774576,-0.000577880939248588,-0.000577880939248588,0.0204021561436841,-0.00680071871456135,-0.00680071871456135,0.00333054309026505,0.000702957337972354,2.83450584925215e-05
0.00177468150122267,-0.000591560500407557,-0.000591560500407557,0.0206364938229006,-0.00687883127430021,-0.00687883127430021,0.0034093834243228,0.000719597692313554,2.90160408526598e-05
0.00181618865899608,-0.00060539621966536,-0.00060539621966536,0.0208706304401874,-0.00695687681339579,-0.00695687681339579,0.00348912374970528,0.000736428002955161,2.96946827607129e-05
0.00185816388894213,-0.000619387962980711,-0.000619387962980711,0.0211045659955443,-0.00703485533184809,-0.00703485533184809,0.0035697632935855,0.000753448106813309,3.03809776416368e-05
0.00190060678893697,-0.000633535596312323,-0.000633535596312323,0.0213383004889714,-0.00711276682965712,-0.00711276682965712,0.00365130128312639,0.00077065784080309,3.10749189203764e-05
